category,name,winner,award,href,year,film,fti_id
Actor,Peter O'Toole,0,Oscar,/wiki/Venus_(film),2006,Venus,234
Actor,Will Smith,0,Oscar,/wiki/The_Pursuit_of_Happyness,2006,The Pursuit of Happyness,235
Actor,Daniel Day-Lewis,1,Oscar,/wiki/There_Will_Be_Blood,2007,There Will Be Blood,236
Actor,George Clooney,0,Oscar,/wiki/Michael_Clayton_(film),2007,Michael Clayton,237
Actor,Johnny Depp,0,Oscar,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),2007,Sweeney Todd: The Demon Barber of Fleet Street,238
Actor,Tommy Lee Jones,0,Oscar,/wiki/In_the_Valley_of_Elah,2007,In the Valley of Elah,239
Actor,Viggo Mortensen,0,Oscar,/wiki/Eastern_Promises,2007,Eastern Promises,240
Actor,Sean Penn,1,Oscar,/wiki/Milk_(film),2008,Milk,241
Actor,Richard Jenkins,0,Oscar,/wiki/The_Visitor_(2007_drama_film),2008,The Visitor,242
Actor,Frank Langella,0,Oscar,/wiki/Frost/Nixon_(film),2008,Frost/Nixon,243
Actor,Brad Pitt,0,Oscar,/wiki/The_Curious_Case_of_Benjamin_Button_(film),2008,The Curious Case of Benjamin Button,244
Actor,Mickey Rourke,0,Oscar,/wiki/The_Wrestler_(2008_film),2008,The Wrestler,245
Actor,Jeff Bridges,1,Oscar,/wiki/Crazy_Heart,2009,Crazy Heart,246
Actor,George Clooney,0,Oscar,/wiki/Up_in_the_Air_(2009_film),2009,Up in the Air,247
Actor,Colin Firth,0,Oscar,/wiki/A_Single_Man,2009,A Single Man,248
Actor,Morgan Freeman,0,Oscar,/wiki/Invictus_(film),2009,Invictus,249
Actor,Jeremy Renner,0,Oscar,/wiki/The_Hurt_Locker,2009,The Hurt Locker,250
Actor,Colin Firth,1,Oscar,/wiki/The_King%27s_Speech,2010,The King's Speech,251
Actor,Javier Bardem,0,Oscar,/wiki/Biutiful,2010,Biutiful,252
Actor,Jeff Bridges,0,Oscar,/wiki/True_Grit_(2010_film),2010,True Grit,253
Actor,Jesse Eisenberg,0,Oscar,/wiki/The_Social_Network,2010,The Social Network,254
Actor,James Franco,0,Oscar,/wiki/127_Hours,2010,127 Hours,255
Actor,Jean Dujardin,1,Oscar,/wiki/The_Artist_(film),2011,The Artist,256
Actor,Demin Bichir,0,Oscar,/wiki/A_Better_Life,2011,A Better Life,257
Actor,George Clooney,0,Oscar,/wiki/The_Descendants,2011,The Descendants,258
Actor,Gary Oldman,0,Oscar,/wiki/Tinker_Tailor_Soldier_Spy_(film),2011,Tinker Tailor Soldier Spy,259
Actor,Brad Pitt,0,Oscar,/wiki/Moneyball_(film),2011,Moneyball,260
Actor,Daniel Day-Lewis,1,Oscar,/wiki/Lincoln_(film),2012,Lincoln,261
Actor,Bradley Cooper,0,Oscar,/wiki/Silver_Linings_Playbook,2012,Silver Linings Playbook,262
Actor,Hugh Jackman,0,Oscar,/wiki/Les_Mis%C3%A9rables_(2012_film),2012,Les Misrables,263
Actor,Joaquin Phoenix,0,Oscar,/wiki/The_Master_(2012_film),2012,The Master,264
Actor,Denzel Washington,0,Oscar,/wiki/Flight_(2012_film),2012,Flight,265
Actor,Matthew McConaughey,1,Oscar,/wiki/Dallas_Buyers_Club,2013,Dallas Buyers Club,266
Actor,Christian Bale,0,Oscar,/wiki/American_Hustle,2013,American Hustle,267
Actor,Bruce Dern,0,Oscar,/wiki/Nebraska_(film),2013,Nebraska,268
Actor,Leonardo DiCaprio,0,Oscar,/wiki/The_Wolf_of_Wall_Street_(2013_film),2013,The Wolf of Wall Street,269
Actor,Chiwetel Ejiofor,0,Oscar,/wiki/12_Years_a_Slave_(film),2013,12 Years a Slave,270
Actor,Eddie Redmayne,1,Oscar,/wiki/The_Theory_of_Everything_(2014_film),2014,The Theory of Everything,271
Actor,Steve Carell,0,Oscar,/wiki/Foxcatcher,2014,Foxcatcher,272
Actor,Bradley Cooper,0,Oscar,/wiki/American_Sniper,2014,American Sniper,273
Actor,Benedict Cumberbatch,0,Oscar,/wiki/The_Imitation_Game,2014,The Imitation Game,274
Actor,Michael Keaton,0,Oscar,/wiki/Birdman_(film),2014,Birdman,275
Actor,Leonardo DiCaprio,1,Oscar,/wiki/The_Revenant_(2015_film),2015,The Revenant,276
Actor,Bryan Cranston,0,Oscar,/wiki/Trumbo_(2015_film),2015,Trumbo,277
Actor,Matt Damon,0,Oscar,/wiki/The_Martian_(film),2015,The Martian,278
Actor,Michael Fassbender,0,Oscar,/wiki/Steve_Jobs_(film),2015,Steve Jobs,279
Actor,Eddie Redmayne,0,Oscar,/wiki/The_Danish_Girl_(film),2015,The Danish Girl,280
