year,category,film,name,BAFTA,Golden Globe,Guild,Oscar,running_time,box_office,imdb_score,rt_audience_score,rt_critic_score,stars_count,writers_count,produced_USA,R,PG,PG13,G,q1_release,q2_release,q3_release,q4_release
2004,Actor,Hotel Rwanda,Don Cheadle,0.0,0.0,0.0,0.0,121,33900000.0,8.1,94.0,90.0,4.0,2.0,0,0,0,1,0,1,0,0,0
2004,Actor,Finding Neverland,Johnny Depp,0.0,0.0,0.0,0.0,101,116800000.0,7.7,87.0,83.0,5.0,1.0,0,0,1,0,0,0,0,0,1
2004,Actor,The Aviator,Leonardo DiCaprio,0.0,1.0,0.0,0.0,170,213700000.0,7.5,79.0,87.0,7.0,1.0,1,0,0,1,0,0,0,0,1
2004,Actor,Million Dollar Baby,Clint Eastwood,0.0,0.0,0.0,0.0,132,216800000.0,8.1,90.0,91.0,2.0,1.0,1,0,0,1,0,1,0,0,0
2005,Actor,Capote,Philip Seymour Hoffman,1.0,1.0,1.0,1.0,114,49200000.0,7.4,81.0,90.0,7.0,1.0,1,1,0,0,0,1,0,0,0
2005,Actor,Hustle and Flow,Terrence Howard,0.0,0.0,0.0,0.0,116,23600000.0,7.4,82.0,82.0,5.0,1.0,1,1,0,0,0,0,0,1,0
2005,Actor,Brokeback Mountain,Heath Ledger,0.0,0.0,0.0,0.0,134,178100000.0,7.7,82.0,87.0,4.0,2.0,1,1,0,0,0,1,0,0,0
2005,Actor,Walk the Line,Joaquin Phoenix,0.0,1.0,0.0,0.0,136,186400000.0,7.9,90.0,82.0,5.0,1.0,1,0,0,1,0,0,0,0,1
2005,Actor,"Good Night, and Good Luck",David Strathairn,0.0,0.0,0.0,0.0,93,56500000.0,7.5,83.0,93.0,6.0,2.0,1,0,1,0,0,0,0,0,1
2006,Actor,The Last King of Scotland,Forest Whitaker,1.0,1.0,1.0,1.0,123,48400000.0,7.7,89.0,87.0,5.0,2.0,0,1,0,0,0,1,0,0,0
2006,Actor,Blood Diamond,Leonardo DiCaprio,0.0,0.0,0.0,0.0,143,171400000.0,8.0,90.0,62.0,5.0,1.0,1,1,0,0,0,0,0,0,1
2006,Actor,Half Nelson,Ryan Gosling,0.0,0.0,0.0,0.0,106,4900000.0,7.2,83.0,90.0,3.0,2.0,1,1,0,0,0,0,0,1,0
2006,Actor,Venus,Peter O'Toole,0.0,0.0,0.0,0.0,95,7261490.0,7.1,74.0,89.0,5.0,1.0,0,1,0,0,0,1,0,0,0
2006,Actor,The Pursuit of Happyness,Will Smith,0.0,0.0,0.0,0.0,117,307100000.0,8.0,87.0,67.0,3.0,1.0,1,0,0,1,0,0,0,0,1
2007,Actor,There Will Be Blood,Daniel Day-Lewis,1.0,1.0,1.0,1.0,158,76200000.0,8.1,86.0,91.0,5.0,1.0,1,1,0,0,0,1,0,0,0
2007,Actor,Michael Clayton,George Clooney,0.0,0.0,0.0,0.0,119,92900000.0,7.3,69.0,90.0,4.0,1.0,1,1,0,0,0,0,0,0,1
2007,Actor,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,0.0,1.0,0.0,0.0,116,152500000.0,7.4,81.0,86.0,5.0,1.0,0,1,0,0,0,0,0,0,1
2007,Actor,In the Valley of Elah,Tommy Lee Jones,0.0,0.0,0.0,0.0,121,29500000.0,7.2,77.0,73.0,7.0,1.0,1,1,0,0,0,0,0,1,0
2007,Actor,Eastern Promises,Viggo Mortensen,0.0,0.0,0.0,0.0,101,56100000.0,7.7,83.0,89.0,4.0,1.0,0,1,0,0,0,0,0,1,0
2008,Actor,Milk,Sean Penn,0.0,0.0,1.0,1.0,128,54600000.0,7.6,89.0,94.0,9.0,1.0,1,1,0,0,0,1,0,0,0
2008,Actor,The Visitor,Richard Jenkins,0.0,0.0,0.0,0.0,103,18078175.0,7.7,84.0,89.0,4.0,1.0,1,0,0,1,0,0,1,0,0
2008,Actor,Frost/Nixon,Frank Langella,0.0,0.0,0.0,0.0,122,27400000.0,7.7,88.0,92.0,8.0,1.0,1,1,0,0,0,1,0,0,0
2008,Actor,The Curious Case of Benjamin Button,Brad Pitt,0.0,0.0,0.0,0.0,166,333900000.0,7.8,80.0,72.0,7.0,1.0,1,0,0,1,0,0,0,0,1
2008,Actor,The Wrestler,Mickey Rourke,1.0,1.0,0.0,0.0,109,44700000.0,7.9,88.0,98.0,3.0,1.0,1,1,0,0,0,1,0,0,0
2009,Actor,Crazy Heart,Jeff Bridges,0.0,1.0,1.0,1.0,112,47400000.0,7.3,76.0,91.0,3.0,1.0,1,1,0,0,0,1,0,0,0
2009,Actor,Up in the Air,George Clooney,0.0,0.0,0.0,0.0,109,166800000.0,7.4,79.0,91.0,4.0,2.0,1,1,0,0,0,0,0,0,1
2009,Actor,A Single Man,Colin Firth,1.0,0.0,0.0,0.0,100,25000000.0,7.6,81.0,85.0,4.0,2.0,1,1,0,0,0,1,0,0,0
2009,Actor,Invictus,Morgan Freeman,0.0,0.0,0.0,0.0,133,122200000.0,7.4,74.0,76.0,2.0,1.0,1,0,0,1,0,0,0,0,1
2009,Actor,The Hurt Locker,Jeremy Renner,0.0,0.0,0.0,0.0,131,49200000.0,7.6,84.0,98.0,7.0,1.0,1,1,0,0,0,0,0,1,0
2010,Actor,The King's Speech,Colin Firth,1.0,1.0,1.0,1.0,119,414200000.0,8.0,92.0,95.0,8.0,1.0,0,1,0,0,0,0,0,0,1
2010,Actor,Biutiful,Javier Bardem,0.0,0.0,0.0,0.0,147,25100000.0,7.5,74.0,64.0,4.0,1.0,0,1,0,0,0,1,0,0,0
2010,Actor,True Grit,Jeff Bridges,0.0,0.0,0.0,0.0,128,43700000.0,7.4,83.0,90.0,8.0,1.0,1,0,0,1,0,0,1,0,0
2010,Actor,The Social Network,Jesse Eisenberg,0.0,0.0,0.0,0.0,120,224900000.0,7.7,86.0,96.0,5.0,1.0,1,0,0,1,0,0,0,0,1
2010,Actor,127 Hours,James Franco,0.0,0.0,0.0,0.0,93,60700000.0,7.6,85.0,93.0,1.0,2.0,0,1,0,0,0,1,0,0,0
2011,Actor,The Artist,Jean Dujardin,1.0,1.0,1.0,1.0,100,133400000.0,7.9,87.0,96.0,2.0,1.0,0,0,0,1,0,1,0,0,0
